Company,Rating,Good Review,Bad Review,Industry,HQ,Total locations
Indraprastha Gas,3.9,Work Life Balance,"Promotions, Job Security",Oil & Gas,New Delhi,31
ANTOLIN,3.7,Not Available,Not Available,Auto Components,Pune,20
Expedia Group,3.6,"Work Life Balance, Salary","Promotions, Job Security, Work Satisfaction",Travel & Tourism,Gurugram,15
Epsilon Carbon,3.8,"Salary, Work Life Balance",Promotions,Chemicals,Ballari,20
Agarwal Packers and Movers Limited,3.3,Not Available,Not Available,Logistics,New Delhi,48
Intercontinental Consultants & Technocrats,4.1,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Engineering & Construction,New Delhi,62
JUSTO Realfintech,4.4,Not Available,Not Available,Real Estate,Pune,12
SYSTRA,3.9,Work Life Balance,Promotions,Engineering & Construction,New Delhi,41
Sandvik Mining and Rock Technology,4.0,"Company Culture, Job Security, Skill Development",Promotions,Industrial Machinery,Udaipur,33
Helloverify,2.8,Not Available,Not Available,Law Enforcement & Security,Noida,11
Eisai Pharmaceuticals,4.0,"Work Life Balance, Company Culture",Promotions,Healthcare,Visakhapatnam,28
Vectus Industries,4.1,Not Available,Not Available,Petrochemicals,Noida,64
Methodex,3.9,Not Available,Not Available,Law Enforcement & Security,New Delhi,50
Berkadia,3.8,"Work Life Balance, Company Culture, Job Security","Promotions, Work Satisfaction, Salary",Real Estate,Hyderabad,7
RSM US in India,3.4,Not Available,Not Available,Management Consulting,Bengaluru,16
Arcesium,3.4,Not Available,Not Available,IT Services & Consulting,Hyderabad,9
Richa Global Export,3.9,"Work Life Balance, Skill Development, Salary",Promotions,Fashion & Textile,Gurugram,13
Xdbs,2.7,Not Available,Not Available,Marketing & Advertising,Pune,5
Alfanar,4.1,"Work Life Balance, Salary, Job Security",Promotions,Electronics Manufacturing,Chennai,34
Veeda Clinical Research,3.4,Not Available,Not Available,Clinical Research,Ahmedabad,9
Kores,3.6,Not Available,Not Available,FMCG,Mumbai,41
Synokem Pharmaceuticals,3.9,"Work Life Balance, Company Culture",Promotions,Pharma,Haridwar,19
Kaddacon Systems,4.6,Not Available,Not Available,IT Services & Consulting,Pune,9
Glaze Trading India,4.3,Not Available,Not Available,Retail,New Delhi,89
Elecon Engineering,4.2,Not Available,Not Available,Electrical Equipment,Anand,24
Bliss Gvs Pharma,4.1,Not Available,Not Available,Pharma,Mumbai,16
Rubicon Research,3.4,Not Available,Not Available,Pharma,Mumbai,16
Runwal Group,3.9,"Work Life Balance, Job Security",Promotions,Real Estate,Mumbai,10
Hathi Cement,4.1,"Job Security, Work Life Balance, Company Culture",Promotions,Building Material,Porbandar,42
Siemens Healthcare,4.0,"Work Life Balance, Job Security, Company Culture",Promotions,Healthcare,Bengaluru,27
AQuity Solutions India,3.7,Not Available,Not Available,IT Services & Consulting,Hyderabad,22
Kirloskar Toyota Textile Machinery,4.5,Not Available,Not Available,Industrial Machinery,Bengaluru,12
Srei Equipment Finance,4.2,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,Financial Services,Kolkata,80
Krishna Group,3.9,"Work Life Balance, Company Culture, Job Security",Promotions,Auto Components,Gurugram,35
Milkbasket,3.8,Not Available,Not Available,Internet,Gurugram,24
The Hershey Company,4.0,"Company Culture, Work Life Balance, Job Security",Promotions,Food Processing,Mumbai,65
Técnicas Reunidas,3.9,"Work Life Balance, Job Security",Promotions,Engineering & Construction,Bengaluru,22
People Prime Worldwide,4.2,Not Available,Not Available,Recruitment,Hyderabad,10
Capri Global Housing Finance,3.5,Not Available,Not Available,NBFC,Mumbai,104
Brick&Bolt,3.3,Not Available,Not Available,Engineering & Construction,Bengaluru,10
Eclat Health Solutions,3.7,Not Available,Not Available,Analytics & KPO,Hyderabad,13
Dimension Data,4.5,Not Available,Not Available,IT Services & Consulting,Bengaluru,55
MCM Telecom Equipment,3.9,"Work Satisfaction, Skill Development",Promotions,Electronics Manufacturing,Noida,8
VXI Global Solutions,3.3,Not Available,Not Available,BPO,Hyderabad,6
Centre For Sight,3.8,Not Available,Not Available,Healthcare,New Delhi,39
Paragon Footwear,4.0,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",Fashion & Textile,Bengaluru,65
Rail Vikas Nigam,3.4,Not Available,Not Available,FMCG,New Delhi,79
Ultra Corpotech,3.9,Skill Development,Promotions,Industrial Machinery,Pune,7
Tega Industries,3.6,Job Security,"Promotions, Salary, Work Satisfaction",Industrial Machinery,Kolkata,21
Labournet Services,4.0,"Work Life Balance, Skill Development","Job Security, Promotions",Non-Profit,Bengaluru,60
Foundit,3.2,Not Available,Not Available,Hyderabad +15 other locations,Not Available,1
Sharda University,3.7,Not Available,Not Available,Education & Training,Greater Noida,16
K L University,3.9,"Job Security, Salary",Promotions,Education & Training,Vijayawada,20
SRMB SRIJAN,3.5,Not Available,Not Available,Iron & Steel,Kolkata,49
PropTiger.com,3.8,"Salary, Company Culture, Skill Development","Job Security, Promotions",Internet,Gurugram,15
Concord Biotech,3.8,"Job Security, Work Life Balance","Promotions, Salary",Pharma,Ahmedabad,24
Motherson Technology Services,3.3,Job Security,"Promotions, Company Culture, Work Satisfaction",IT Services & Consulting,Noida,13
RNFI Services,3.2,Not Available,Not Available,FinTech,New Delhi,107
SolarSquare Energy,3.0,Not Available,Not Available,Power,Pune,35
Hays Business Solutions,3.3,Not Available,Not Available,Recruitment,Noida,13
Indifi Technologies,3.7,Not Available,Not Available,FinTech,Gurugram,15
Omnicom Global Solutions,3.3,Not Available,Not Available,Marketing & Advertising,Bengaluru,13
Capital Small Finance Bank,3.5,Not Available,Not Available,Banking,Jalandhar,71
Andromeda Sales ans Distribution PVT LTD,3.2,Not Available,Not Available,Internet,Mumbai,72
Lumino Industries,3.7,Not Available,Not Available,Electrical Equipment,Kolkata,54
SiliconIndia,2.7,Not Available,Not Available,Printing & Publishing,Bengaluru,10
SATTVA,4.3,"Work Life Balance, Job Security, Company Culture",Promotions,Real Estate,Bengaluru,16
Yellow Diamond,4.0,"Work Life Balance, Company Culture",Promotions,FMCG,Indore,91
KaaShiv InfoTech Company,4.8,Not Available,Not Available,EdTech,Chennai,6
Columbia Petro Chem,4.1,Not Available,Not Available,Oil & Gas,Mumbai,14
Computacenter,3.9,"Company Culture, Work Life Balance, Job Security",Promotions,IT Services & Consulting,Bengaluru,13
Rainbow Hospital,3.7,Not Available,Not Available,Healthcare,Hyderabad,21
Tudip Technologies,3.6,Not Available,Not Available,IT Services & Consulting,Pune,9
Heavy Engineering Industries & Shipbuilding,3.9,"Salary, Work Life Balance, Job Security",Promotions,Engineering & Construction,Kuwait City,28
Civica India,3.0,Not Available,Not Available,IT Services & Consulting,Vadodara,13
Bss Microfinance,3.8,Not Available,Not Available,Financial Services,Bengaluru,136
Cashpor Micro Credit,3.6,Not Available,Not Available,NBFC,Varanasi,66
Hilex,3.8,"Work Life Balance, Job Security",Promotions,Automobile,Chennai,18
Captain Steel India Limited,3.7,Salary,"Promotions, Company Culture, Job Security",Iron & Steel,Kolkata,78
Sunflag Iron and Steel,3.7,Not Available,Not Available,Iron & Steel,Bhandara,17
Jawahar Navodaya Vidyalaya,4.4,"Work Life Balance, Work Satisfaction, Skill Development",Promotions,Education & Training,New Delhi,155
